Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
294107.32493638725,-1.2579366,25.951015,28.094545,14.425403,5.974813,-19.571138,-18.40273,-1.4436478e-10
294107.3289375863,-2.6538658,26.330786,36.595646,32.786053,33.82723,24.368654,15.866405,2.0422843e-09
294107.33293878526,-3.7028883,27.173872,42.111347,48.614616,61.70868,74.95482,69.74063,1.1467343e-09
294107.3369399843,-4.575865,27.129549,43.04278,56.671333,74.67743,94.94912,103.80258,-1.9287285e-09
294107.3409411833,-5.6525335,23.706573,36.285866,44.09577,26.244335,0.31356442,-23.751368,-1.6186048e-09
294107.3449423823,-6.802287,16.484564,21.610981,19.573347,-6.737719,-39.563904,-52.4659,-1.4436478e-10
294107.34894358134,-7.8165016,8.465973,3.8815017,-12.537243,-35.362045,-54.634483,-44.786377,2.0422843e-09
294107.3529447803,-8.5245,2.9805892,-8.902436,-42.162846,-59.407864,-57.25713,-21.016016,1.1467343e-09
294107.35694597935,-9.036478,-0.8087407,-17.186312,-60.124523,-67.71869,-40.95938,18.964172,-1.9287285e-09
294107.3609471784,-9.850361,-10.069845,-31.742498,-59.78015,-29.047892,28.346073,107.04433,-1.4436478e-10
294107.36494837736,-10.0215,-17.352316,-36.45968,-37.008957,11.037945,44.23007,66.43856,2.0422843e-09
294107.3689495764,-10.062606,-22.658941,-41.00744,-15.470394,47.57521,63.070484,17.476625,1.1467343e-09
294107.37295077543,-10.093788,-25.473932,-41.236156,1.2576765,66.83683,64.1008,-19.100662,-1.9287285e-09
294107.3769519744,-9.88781,-28.204258,-26.011705,33.892082,63.15096,-20.430563,-109.124275,-8.853608e-11
294107.38095317344,-9.452339,-28.153519,-13.160527,50.42155,31.24909,-68.47874,-72.94842,2.0670345e-10
294107.3849543724,-8.946704,-26.648516,1.6421602,56.908356,-10.338651,-81.743546,31.56104,2.148673e-10
294107.38895557146,-8.416029,-24.003963,16.919525,51.081364,-46.494514,-52.354065,124.80885,1.1848719e-10
294107.3929567705,-7.779038,-20.130695,29.734945,32.445995,-65.968025,5.8116174,125.57554,-1.184659e-10
294107.39695796947,-6.880239,-14.636108,37.70086,5.169277,-61.83064,61.233715,28.156607,-4.8315013e-10
294107.4009591685,-5.7131863,-7.719925,40.08818,-22.975811,-34.676754,81.96587,-80.55648,-2.8171931e-10
294107.40496036754,-4.504856,-0.30988404,36.998253,-44.10545,6.1500983,57.554436,-107.49478,6.7851114e-10
294107.4089615665,-3.4592466,7.1061864,28.894283,-53.16326,44.994892,3.8856785,-43.416725,9.30473e-10
294107.41296276555,-2.4757233,14.424349,16.984163,-49.180157,66.00226,-49.727142,56.276047,-4.9954874e-10
294107.4169639645,-1.239717,20.680487,2.9684844,-33.454086,62.402927,-74.671036,136.87975,-1.6186048e-09
294107.42096516356,0.32629943,24.660858,-11.744667,-8.904215,37.23808,-56.748337,148.5909,-1.4436478e-10
294107.4249663626,1.7611387,26.56636,-25.514347,18.960997,-2.776543,-5.5811276,50.323994,2.0422843e-09
294107.4289675616,2.566853,27.41476,-35.760338,43.473637,-44.62077,50.755413,-120.21034,1.1467343e-09
294107.4329687606,3.0851552,27.192102,-40.58174,57.6381,-68.812416,80.604225,-229.77107,-1.9287285e-09
294107.43696995964,4.698875,23.749977,-40.713978,59.77251,-75.76469,69.74264,-129.88446,6.7851114e-10
294107.4409711586,5.8476334,20.95619,-35.19017,40.724495,-43.001244,18.77489,-35.816185,9.30473e-10
294107.44497235765,6.7968554,17.533022,-24.036263,8.921824,11.686804,-46.822292,29.675962,-4.9954874e-10
294107.4489735567,7.481921,11.543709,-8.262902,-18.96384,56.19677,-89.70789,50.149498,-1.6186048e-09
294107.45297475567,8.110152,3.097844,8.932262,-35.077682,66.46468,-82.67467,31.465778,-1.4436478e-10
294107.4569759547,8.882968,-4.716429,23.54226,-44.68005,48.904625,-31.356495,-19.466484,2.0422843e-09
294107.4609771537,9.639425,-9.427279,33.847992,-52.575577,27.60123,30.118048,-81.16949,1.1467343e-09
294107.4649783527,10.022258,-12.752185,40.044285,-51.660416,7.586462,70.54647,-100.10959,-1.9287285e-09
294107.46897955175,10.163065,-21.158054,44.089718,-20.135277,-52.919437,67.7526,17.567993,-4.9954874e-10
294107.4729807507,10.0534115,-26.25253,40.221336,7.4850907,-78.146904,23.212753,84.84135,-1.6186048e-09
294107.47698194976,9.554526,-28.137308,27.099012,27.222868,-63.75182,-13.345765,104.09396,-1.4436478e-10
294107.4809831488,9.032196,-27.454212,9.739891,40.470028,-23.941227,-44.394955,72.04597,2.0422843e-09
294107.4849843478,8.871672,-26.238743,-4.5934963,51.681896,13.357576,-79.71798,2.5511413,1.1467343e-09
294107.4889855468,8.837214,-24.594227,-15.28352,52.963062,37.62185,-86.63305,-59.182827,-1.9287285e-09
294107.4929867458,7.6679363,-19.572853,-27.908575,29.432568,76.303665,13.6518345,-62.87477,9.30473e-10
294107.4969879448,7.0211277,-15.644419,-39.93774,-3.4164784,65.07479,66.07593,7.1355968,-4.9954874e-10
294107.50098914385,6.1671667,-9.356767,-45.151512,-34.207054,32.164307,89.11485,81.384,-1.6186048e-09
294107.50499034283,4.8401647,-0.58203435,-39.12028,-48.678776,-2.1107757,69.69704,101.803535,-1.4436478e-10
294107.50899154186,3.3779254,8.285408,-27.088049,-48.136806,-32.594753,10.90159,59.512627,2.0422843e-09
294107.5129927409,2.3377128,14.6648655,-17.244648,-43.86577,-62.65343,-57.90788,-8.451694,1.1467343e-09
294107.5169939399,1.5882016,18.60899,-8.178359,-36.90772,-76.514725,-94.08366,-61.169495,-1.9287285e-09
294107.5209951389,0.3870602,24.537834,14.550151,-6.8550525,-28.394444,-51.013874,-63.274513,-1.6186048e-09
294107.52499633795,-1.0963752,26.458685,26.181107,12.75375,4.2953157,-10.906982,-48.684612,-1.4436478e-10
294107.5289975369,-2.7253413,26.88508,33.927822,32.838093,34.480335,29.912697,7.248601,2.0422843e-09
294107.53299873596,-3.8318062,27.186115,39.04123,52.563522,56.53941,68.081604,91.838745,1.1467343e-09
294107.53699993494,-4.5423913,26.641785,40.36241,60.645355,61.876877,78.85821,126.57129,-1.9287285e-09
294107.54100113397,-5.948305,21.71135,32.348602,43.70289,35.557396,15.120557,-22.828533,9.30473e-10
294107.545002333,-6.8038116,17.933884,23.011978,14.565847,-17.264532,-48.04678,-46.9499,-4.9954874e-10
294107.549003532,-7.6182237,11.897733,10.516179,-16.900146,-56.802155,-83.90642,-50.886234,-1.6186048e-09
294107.553004731,-8.376371,3.2621636,-4.826949,-36.26861,-62.92975,-73.907074,-47.6454,-1.4436478e-10
294107.55700593005,-9.011299,-5.689475,-20.085775,-44.104145,-46.64983,-28.081747,8.518826,2.0422843e-09
294107.561007129,-9.488376,-12.083823,-31.782993,-50.122643,-29.438936,30.508883,116.05898,1.1467343e-09
294107.56500832806,-9.798668,-16.030878,-38.579155,-49.926098,-9.593376,75.34915,152.10365,-1.9287285e-09
294107.56900952704,-10.142494,-21.97037,-38.682076,-23.51596,52.104553,90.939445,-53.477516,9.30473e-10
