,freq,shift,time
0,11,0,189811.3811958
1,11,0,189813.9083448
2,11,0,189816.4123364
3,9,0,189818.9103406
4,10,0,189821.4076855
5,10,0,189823.9113417
6,10,0,189826.405932
7,10,0,189828.905924
8,8,0.5,189831.438407
9,10,0,
10,8,0.5,
11,9,0,
12,11,0,
13,8,0.5,
14,8,0.5,
15,9,0,
16,11,0,
17,8,0.5,
18,10,0,
19,11,0,
