,freq,shift,time
0,8,0.5,142507.5647101
1,10,0.0,142510.0973975
2,11,0.0,142512.59732
3,9,0.0,142515.0967459
4,11,0.0,142517.5960911
5,9,0.0,142520.0954195
6,10,0.0,142522.595856
7,9,0.0,142525.0953392
8,9,0.0,142527.59442
9,8,0.5,142530.0942569
10,10,0.0,142532.596611
11,9,0.0,142535.0931023
12,9,0.0,142537.593215
13,11,0.0,142540.1313227
14,8,0.5,142542.6259387
15,8,0.5,142545.1250253
16,9,0.0,142547.6254891
17,9,0.0,142550.1239756
18,8,0.5,142552.6239491
19,10,0.0,142555.1237506
