,freq,shift,time
0,8,0,7.06592549989
1,11,0,9.618305400013924
2,8,0,12.116703599924222
3,11,0,14.614751299843192
4,8,0,17.11582999979146
5,10,0,19.615428999997675
6,8,0,22.23997009987943
7,11,0,24.73199519980699
8,9,0,27.23115749983117
9,8,0,29.730674299877137
10,11,0,32.22994979983196
11,9,0,34.728472699876875
12,11,0,37.22641749982722
13,9,0,39.72843010001816
14,11,0,42.228224999969825
15,11,0,44.725779299857095
16,11,0,47.227454599924386
17,8,0,49.726576399989426
18,11,0,52.22680069995113
19,8,0,54.72609589993954
