,freq,shift,time
0,10,0,142232.9757212
1,10,0,142235.4920794
2,8,0.5,142237.992108
3,10,0,142240.4910935
4,8,0.5,142242.9907748
5,10,0,142245.4908635
6,11,0,142247.9899229
7,9,0,142250.4895253
8,9,0,142252.9901024
9,9,0,142255.4892991
10,10,0,142257.9883684
11,11,0,142260.4887985
12,8,0.5,142262.9885399
13,10,0,142265.4877082
14,9,0,
15,10,0,
16,11,0,
17,8,0.5,
18,9,0,
19,11,0,
