,freq,shift,time
0,11,0,190501.4302411
1,10,0,190503.9797654
2,8,0.5,190506.4958667
3,9,0,190509.0151871
4,11,0,190511.5280968
5,10,0,190514.0480471
6,9,0,190516.5657368
7,11,0,190519.0766919
8,10,0,190521.6102682
9,9,0,190524.1271109
10,8,0.5,190526.6472072
11,8,0.5,190529.1590806
12,9,0,190531.6772319
13,10,0,190534.1947121
14,9,0,190536.7102804
15,11,0,190539.2239347
16,9,0,190541.7397726
17,8,0.5,190544.2603543
18,10,0,190546.7723738
19,11,0,
