,freq,shift,time
0,10,0,1744918.688132916
1,11,0,1744919.937935833
2,9,0,1744921.195293083
3,9,0,1744922.444176125
4,10,0,
5,10,0,
6,8,0,
7,10,0,
8,11,0,
9,10,0,
10,9,0,
11,9,0,
12,9,0,
13,11,0,
14,8,0,
15,11,0,
16,10,0,
17,11,0,
18,9,0,
19,10,0,
