Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Marker
293419.66721989674,-4.8491774,-0.27066332,38.195404,-49.234344,9.678146,48.12083,-76.74511,1.1467343e-09,16
293419.67122856056,-3.8979807,3.4363227,36.003094,-60.382572,36.819145,24.269535,-110.00791,-1.9287285e-09,16
293419.6752372244,-2.5682664,12.9628725,18.907438,-54.190037,68.45373,-59.909298,24.111935,-4.9954874e-10,16
293419.6792458882,-1.6091729,19.662474,3.0369978,-35.783752,63.3822,-79.67528,90.57883,-1.6186048e-09,16
293419.683254552,-0.15820451,24.22864,-13.23578,-8.301711,35.44899,-54.95846,99.86612,-1.4436478e-10,16
293419.68726321583,1.5094967,26.865408,-26.571224,21.595945,-7.0022736,-0.13520795,44.457523,2.0422843e-09,16
293419.69127187965,2.6874876,28.742018,-35.34091,45.526497,-50.35373,56.710903,-36.986477,1.1467343e-09,16
293419.69528054347,3.4388075,29.491877,-39.848885,57.676437,-76.69169,85.30831,-86.092804,-1.9287285e-09,16
293419.6992892073,4.9600124,26.895264,-40.808857,57.548466,-68.44158,68.586716,-63.463154,1.1848719e-10,16
293419.7032978711,6.0249457,22.31859,-33.15256,38.789387,-43.448326,25.540302,41.477554,-1.184659e-10,16
293419.7073065349,6.909204,16.456493,-22.306288,13.039701,0.06766118,-35.529144,109.08991,-4.8315013e-10,16
293419.71131519874,7.5919285,9.983399,-10.265876,-11.980362,47.420246,-85.1698,90.18729,-2.8171931e-10,16
293419.71532386256,8.156131,3.2396514,4.133053,-34.006256,75.853195,-88.99535,21.922586,6.7851114e-10,16
293419.7193325264,8.808447,-3.541965,21.285938,-51.08347,68.12591,-37.929615,-32.1896,9.30473e-10,16
293419.7233411902,9.586599,-10.092631,37.10871,-57.346924,29.01039,34.812172,-50.809353,-4.9954874e-10,16
293419.727349854,10.2008705,-15.9915,44.613438,-47.446934,-13.979708,80.23124,-46.891052,-1.6186048e-09,16
293419.73135851783,10.349536,-20.762417,40.799023,-23.290516,-36.5968,75.08764,-23.262737,-1.4436478e-10,16
293419.73536718165,10.130823,-24.492271,30.86573,5.9231086,-42.51884,30.546228,29.141651,2.0422843e-09,16
293419.7393758455,9.888758,-27.490793,22.206087,30.006472,-47.049385,-26.81966,91.11807,1.1467343e-09,16
293419.7433845093,9.636729,-28.9524,15.113109,43.895176,-42.698723,-71.15846,103.92568,-1.9287285e-09,16
293419.7473931731,9.00395,-27.853964,-2.8028293,56.225403,19.326914,-76.97089,-20.684946,-4.9954874e-10,16
293419.7514018369,8.411967,-25.087282,-16.153759,49.6986,61.396347,-32.878525,-77.03299,-1.6186048e-09,16
293419.75541050074,7.413718,-18.751913,-25.617264,26.992619,65.617386,9.25746,-92.32625,-1.4436478e-10,16
293419.75941916456,6.357486,-11.844977,-33.404385,-2.8482072,45.91758,46.241066,-32.395653,2.0422843e-09,16
293419.7634278284,5.6204805,-7.0997,-40.655384,-27.18719,27.440874,84.8401,83.434204,1.1467343e-09,16
293419.7674364922,5.0499372,-3.0158668,-43.1212,-41.35176,7.083459,94.35755,149.74486,-1.9287285e-09,16
293419.771445156,3.914682,6.5532365,-33.48303,-57.083004,-61.691277,-11.988312,40.861946,-4.9954874e-10,16
293419.77545381984,2.9518168,13.107353,-20.830545,-55.149006,-87.68055,-82.272575,-64.70613,-1.6186048e-09,16
293419.77946248365,1.45631,18.80824,-3.6941319,-34.76013,-73.48804,-95.290054,-119.36702,-1.4436478e-10,16
293419.7834711475,-0.13065988,23.373642,13.842863,-3.8421626,-31.291037,-58.160244,-107.743,2.0422843e-09,16
293419.7874798113,-1.2558432,26.142342,27.209532,22.967903,11.368953,-7.8319407,-52.080494,1.1467343e-09,16
293419.7914884751,-2.077422,27.103746,34.83929,39.604538,40.6293,34.0811,14.444267,-1.9287285e-09,16
293419.7954971389,-3.4686744,28.552814,44.432835,61.897396,80.38665,85.800224,60.33019,-1.6186048e-09,16
293419.79950580274,-4.841964,24.707275,38.721855,52.691772,64.99531,73.009636,60.14537,-1.4436478e-10,16
293419.80351446656,-6.115098,19.54146,27.031965,30.686476,27.824993,24.403748,15.276722,2.0422843e-09,16
293419.8075231304,-6.9763284,15.842645,18.590761,12.081597,-7.3062716,-31.506243,-59.063156,1.1467343e-09,16
293419.8115317942,-7.5371113,12.744447,12.188999,-3.3317766,-34.067917,-66.725815,-104.15554,-1.9287285e-09,16
293419.815540458,-8.469636,6.0672674,-7.886361,-43.587646,-77.87294,-56.712044,-6.814382,-1.6186048e-09,16
293419.81954912184,-9.055585,-2.4277418,-20.77423,-50.645744,-66.94007,-29.990406,29.011349,-1.4436478e-10,16
